address,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,categoryName,city,countryCode,emails/0,facebookProfiles/0/categories/1,facebookProfiles/0/categories/2,facebookProfiles/0/categories/3,facebookProfiles/0/coverPhoto,facebookProfiles/0/email,facebookProfiles/0/externalProfileURL,facebookProfiles/0/facebookId,facebookProfiles/0/info/0,facebookProfiles/0/info/1,facebookProfiles/0/info/2,facebookProfiles/0/phone,facebookProfiles/0/profileURL,phone,postalCode,searchString,street,title,website
"North St, Petworth GU28 9NH, United Kingdom",Construction company,Builder,,,,,,,,,,Construction company,Petworth,GB,builders@luckingbrotherssouth.co.uk,,,,,,,,,,,,,+44 1798 342365,GU28 9NH,Construction,North St,Lucking Brothers South Ltd,https://www.luckingbrotherssouth.co.uk/
"Ranville Cl, Petworth GU28 0EN, United Kingdom",Construction company,Bathroom remodeler,Bricklayer,Building firm,Carpenter,Joiner,Kitchen remodeler,Painter,Paving contractor,Roofing contractor,,Construction company,Petworth,GB,info@petworthbuilders.co.uk,Home Improvement,,,,,http://Www.petworthbuilders.co.uk/,100063802697699,"Petworth Builders & Roofers. 152 likes. We are a multi trades business, with over 15 years experience, we specialise in re roofs, flat roofi",,,+44 7946 769144,https://www.facebook.com/PetworthBuildersandRoofers,+44 7946 769144,GU28 0EN,Construction,Ranville Cl,Petworth Builders & Roofers ltd,https://www.petworthbuilders.co.uk/
"Brook Cottage, Durbans Rd, Wisborough Green, Billingshurst RH14 0DL, United Kingdom",Animation studio,Media company,Video production service,,,,,,,,,Animation studio,Billingshurst,GB,hello@glitchvfx.com,Broadcasting & media production company,,,https://scontent-lga3-3.xx.fbcdn.net/v/t39.30808-6/236776942_104972465228460_3652107725739946148_n.png?stp=dst-png_s960x960&_nc_cat=102&ccb=1-7&_nc_sid=2a1932&_nc_ohc=VC-8CXeaAwEQ7kNvwFOsm0l&_nc_oc=AdrSBldhHyCICOjKaIgZzNBfBctK09xsr39b8mdD-1w63WQHb7l0Z-3F3UbUyIbEZ8I&_nc_zt=23&_nc_ht=scontent-lga3-3.xx&_nc_gid=SlXr2_63G96L_IXmy1sh_A&_nc_ss=7e289&oh=00_Af7GwuKSvquFLjWqD9OdQDhXk1Dl-e0aD-vEEo4E43Dk_g&oe=6A08D340,info@glitchvfx.com,http://www.glitchvfx.com/,100071455493136,"Glitch VFX. 3 likes. Glitch VFX is a multimedia production studio specialising in 3D animation, visual effects and 360°/VR content creation.",,,+44 7717 307720,https://www.facebook.com/glitchvisfx,+44 7717 307720,RH14 0DL,Rendering,"Brook Cottage, Durbans Rd",Glitch VFX Ltd,http://www.glitchvfx.com/
"The Portico, Stansted House, Rowlands Castle, Rowland's Castle PO9 6DX, United Kingdom",Construction company,,,,,,,,,,,Construction company,Rowland's Castle,GB,info@asciaconstruction.co.uk,,,,,,,,,,,,,+44 23 9200 6344,PO9 6DX,Construction,"The Portico, Stansted House",Ascia Construction,https://asciaconstruction.co.uk/
"Unit 4 Gravel Ln, Quarry Ln, Chichester PO19 8PQ, United Kingdom",Construction company,,,,,,,,,,,Construction company,Chichester,GB,enquiries@jfdfandc.com,Construction Company,Real Estate,Home Improvement,https://scontent-dfw6-1.xx.fbcdn.net/v/t39.30808-6/489299453_2944073769107540_1376104707041986527_n.jpg?stp=dst-jpg_s960x960_tt6&_nc_cat=103&ccb=1-7&_nc_sid=2a1932&_nc_ohc=T2eJztnOQBcQ7kNvwFzixCZ&_nc_oc=Adqi24puy0DXaRVSXXuNnxrtHnCq6GbbyH6_XCMG-XwirJN2oJ-FRvZpBZ-YxnCdXck&_nc_zt=23&_nc_ht=scontent-dfw6-1.xx&_nc_gid=Qixn4cHm1gJu5fZH4jMmEw&_nc_ss=72289&oh=00_Af4xjScOPiv6mAZMFRCA5zVLphO3jKzvEjJ7VVwf1PNhaQ&oe=6A08D67E,enquiries@jfdfandc.com,http://www.jdffandc.com/,61563409407272,"JFD Facilities & Construction, Chichester. 92 likes. With 20 years of experience and a skilled team of professionals, we offer comprehensive solutions to...",,,+44 1243 215263,https://www.facebook.com/61563409407272,+44 1243 215263,PO19 8PQ,Renovation,"Unit 4 Gravel Ln, Quarry Ln",JFD Facilities and Construction,https://jfdfandc.com/
"Stansted House, The Old Tack Room, Rowlands Castle, Rowland's Castle PO9 6DX, United Kingdom",Construction company,,,,,,,,,,,Construction company,Rowland's Castle,GB,info@dmbr.co.uk,,,,,,,,,,,,,+44 333 772 1364,PO9 6DX,Renovation,"Stansted House, The Old Tack Room",DM Building & Restoration Limited,https://www.dmbr.co.uk/
"The Yard, Aldsworth Manor Farm, Aldsworth, Emsworth PO10 8QT, United Kingdom",Construction company,Building firm,,,,,,,,,,Construction company,Emsworth,GB,office@aim.works,,,,,,,,,,,,,+44 1243 389783,PO10 8QT,Construction,"The Yard, Aldsworth Manor Farm",AIM Heritage & Development (A. I. McKellar Ltd),http://aim.works/
"Unit 1 Phoenix Business Centre, Spur Rd, Chichester PO19 8PN, United Kingdom",Construction company,Architect,Architecture firm,Building firm,Custom home builder,Electrician,Heating contractor,HVAC contractor,Joiner,Plumber,,Construction company,Chichester,GB,enquiries@pinnacleworks.co.uk,Construction Company,,,https://scontent-dfw5-1.xx.fbcdn.net/v/t39.30808-6/496301582_1231595118978348_9146590816575725519_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=2a1932&_nc_ohc=qABUb5u8MY4Q7kNvwGsHk6q&_nc_oc=AdqTzS3Gd0p7v2bA5q7IO2vwRD2cEuY8ZjIlwYr6tvS6xEeHCpw1owrDXLzC2-ANFkU&_nc_zt=23&_nc_ht=scontent-dfw5-1.xx&_nc_gid=VQThw1n5nrSZvJwT4Bp8zg&_nc_ss=7c289&oh=00_Af5ma2O9M0xD_VeZ_S4Epx2HDoaBI9mk0v2g6MtRyqjYSA&oe=6A08BB8E,enquiries@pinnacleworks.co.uk,http://www.pinnacleworks.co.uk/,100063836131289,"Pinnacle Works Ltd, Chichester. 1,419 likes",2 were here. All aspects of building work undertaken.,,,https://www.facebook.com/Pinnacleworksltd,+44 1243 584636,PO19 8PN,Rendering,"Unit 1 Phoenix Business Centre, Spur Rd",Pinnacle Works Ltd,https://www.pinnacleworks.co.uk/
"Unit 2, St James Industrial Estate, Chichester PO19 7JU, United Kingdom",Construction company,Bathroom remodeler,Flooring contractor,,,,,,,,,Construction company,Chichester,GB,info@www.limeandmarble.com,,,,,,,,,,,,,+44 7535 969540,PO19 7JU,Plastering,"Unit 2, St James Industrial Estate",Lime & Marble Ltd,https://www.limeandmarble.com/
"1a, Oakwood Business Park, East Ashling, Chichester PO18 9AL, United Kingdom",Construction company,,,,,,,,,,,Construction company,Chichester,GB,info@daedalusconservation.co.uk,,,,,,,,,,,,,+44 1243 865771,PO18 9AL,Joinery,"1a, Oakwood Business Park",R W Armstong & Sons,http://www.rwarmstrong.co.uk/
