"Emails";"website";"title";"categories/0";"categories/1";"categories/2";"categories/3";"categories/4";"categories/5";"categories/6";"categories/7";"categories/8";"categories/9";"address";"neighborhood";"street";"city";"postalCode";"state";"countryCode";"website";"phone";"phoneUnformatted";"location/lat";"location/lng";"plusCode";"categoryName"
"info@dh-cc.co.uk";"http://www.dh-cc.co.uk/";"D & H Carpentry and Construction LTD";"Construction company";"Carpenter";"Kitchen remodeler";"Project house, Farlington, Portsmouth PO6 1RU, United Kingdom";"Farlington";"Project house";"Portsmouth";"PO6 1RU";"GB";"http://www.dh-cc.co.uk/";"+44 23 9355 2695";"+442393552695";"50.8432173";"-1.0333585";"RXV8+7M Portsmouth, United Kingdom";"Construction company";;;;;;;;
"info@azzaraltd.co.uk";"https://azzaraltd.co.uk/";"Azzara Ltd";"Construction company";"5 Manor Cl., Havant PO9 1BD, United Kingdom";"5 Manor Cl.";"Havant";"PO9 1BD";"GB";"https://azzaraltd.co.uk/";"+44 7783 051153";"+447783051153";"50.8528737";"-0.9796162";"V23C+45 Havant, United Kingdom";"Construction company";;;;;;;;;;;
"projects@develotec.co.uk";"http://www.develotec.co.uk/";"Develotec";"Paving contractor";"Construction company";"Electrical engineer";"Electrician";"Unit A2, Endeavour Business Park, Havant PO9 1QN, United Kingdom";"Unit A2, Endeavour Business Park";"Havant";"PO9 1QN";"GB";"http://www.develotec.co.uk/";"+44 23 9200 5142";"+442392005142";"50.8439018";"-0.9877771";"R2V6+HV Havant, United Kingdom";"Paving contractor";;;;;;;;
"info@rmdes.co.uk";"http://www.rmdelectricalandrenewables.co.uk/";"RMD Electrical & Renewables";"Electrician";"Electric vehicle charging station contractor";"Electrical installation service";"Roofing contractor";"Security system installation service";"Solar energy company";"Solar energy system service";"Solar energy equipment supplier";"Solar panel maintenance service";"7 Maylands Rd, Bedhampton, Havant PO9 3NP, United Kingdom";"Bedhampton";"7 Maylands Rd";"Havant";"PO9 3NP";"GB";"http://www.rmdelectricalandrenewables.co.uk/";"+44 23 9278 0885";"+442392780885";"-1.0082339";"VX3R+WP Havant, United Kingdom";"Electrician";;;
"info@tvrelectrical.co.uk";"https://tvrelectrical.co.uk/";"TVR Electrical Services Solar";"Solar energy company";"Electrician";"Solar energy equipment supplier";"Solar panel maintenance service";"Solar photovoltaic power plant";"Unit 13, The Wren Centre, Westbourne Rd, Emsworth PO10 7SU, United Kingdom";"Unit 13, The Wren Centre, Westbourne Rd";"Emsworth";"PO10 7SU";"GB";"https://tvrelectrical.co.uk/";"+44 1243 372319";"+441243372319";"50.8604142";"-0.9297376";"V36C+54 Emsworth, United Kingdom";"Solar energy company";;;;;;;
"info@helixelectrical.net";"https://helixelectrical.net/";"Helix Electrical Limited";"Electrician";"Electrical engineer";"Electrical installation service";"Home automation company";"Home cinema installation";"Security system installation service";"6 Brushwood Grv, Emsworth PO10 7GT, United Kingdom";"6 Brushwood Grv";"Emsworth";"PO10 7GT";"GB";"https://helixelectrical.net/";"+44 7741 473446";"+447741473446";"50.8630818";"-0.9347266";"V378+64 Emsworth, United Kingdom";"Electrician";;;;;;
"bookings@dragondomesticgasservices.co.uk";"https://www.dragondomesticgasservices.co.uk/";"Dragon Domestic Gas Services Ltd";"Air conditioning repair service";"Air conditioning repair service";"Air conditioning system supplier";"Gas installation service";"Heating equipment supplier";"Plumber";"Baker Barracks, 17 Swift Rd, Emsworth PO10 8EB, United Kingdom";"Baker Barracks, 17 Swift Rd";"Emsworth";"PO10 8EB";"GB";"https://www.dragondomesticgasservices.co.uk/";"+44 7736 371837";"+447736371837";"50.82529";"-0.9327907";"R3G8+4V Emsworth, United Kingdom";"Gas company";;;;;;
"office@gregorybrosltd.co.uk";"https://gregorybrosltd.co.uk/";"Gregory Bros Ltd";"Construction company";"Building designer";"Building firm";"Steel construction company";"Chevron Buildings, Eastern Rd, Havant PO9 2JQ, United Kingdom";"Havant";"Chevron Buildings, Eastern Rd";"Havant";"PO9 2JQ";"GB";"https://gregorybrosltd.co.uk/";"+44 23 9249 2322";"+442392492322";"50.8547127";"-0.9758913";"V23F+VJ Havant, United Kingdom";"Construction company";;;;;;;
"joeythevanman@gmail.com";"https://www.facebook.com/Joey-The-Van-Man-101267222097941";"Joey The Van Man Removals";"Mover";"Courier service";"Shipping company";"Transportation service";"228 Victoria Rd, Emsworth PO1P 7LY, United Kingdom";"228 Victoria Rd";"Emsworth";"PO1P 7LY";"GB";"https://www.facebook.com/Joey-The-Van-Man-101267222097941";"+44 7456 652812";"+447456652812";"50.8518063";"-0.9513122";"V22X+PF Emsworth, United Kingdom";"Mover";;;;;;;;
"info@totalconstructiongroup.co.uk";"http://totalconstructiongroup.co.uk/";"Total Construction Group Ltd";"Construction company";"Station Yard Bowes Hill, Rowlands Castle, Rowland's Castle PO9 6BP, United Kingdom";"Rowlands Castle";"Station Yard Bowes Hill";"Rowland's Castle";"PO9 6BP";"GB";"http://totalconstructiongroup.co.uk/";"+44 1243 850022";"+441243850022";"50.8924666";"-0.9574104";"V2RV+X2 Rowland's Castle, United Kingdom";"Construction company";;;;;;;;;;
"enquiries@mulberrybuilding.co.uk";"http://www.mulberrybuilding.co.uk/";"Mulberry Building Contractors Ltd";"Construction company";"Home builder";"Unit C1 Endeavour Business Park, Penner Road, Havant PO9 1QN, United Kingdom";"Unit C1 Endeavour Business Park, Penner Road";"Havant";"PO9 1QN";"GB";"http://www.mulberrybuilding.co.uk/";"+44 23 9245 3000";"+442392453000";"50.843475";"-0.990788";"R2V5+9M Havant, United Kingdom";"Construction company";;;;;;;;;;
"info@lpjconstruction.co.uk";"https://lpjconstruction.co.uk/";"LPJ Construction Ltd";"Construction company";"232 London Rd, Waterlooville PO7 7HB, United Kingdom";"232 London Rd";"Waterlooville";"PO7 7HB";"GB";"https://lpjconstruction.co.uk/";"+44 800 246 1300";"+448002461300";"50.8780443";"-1.0336099";"VXH8+6H Waterlooville, United Kingdom";"Construction company";;;;;;;;;;;
"harry@weltonproperty.co.uk";"https://weltonproperty.co.uk/";"Welton Property Ltd";"Construction company";"Architect";"Electrician";"Service establishment";"Landscape designer";"Landscaper";"Plasterer";"Plumber";"https://weltonproperty.co.uk/";"+44 7361 216937";"+447361216937";"50.8158862";"-0.9558169";"Construction company";;;;;;;;;;
"jonturner.hgs@hotmail.co.uk";"http://www.facebook.com/pages/Jon-Turner-Home-Garden-Solutions/188957087817120";"Home And Garden Solutions";"Landscaper";"Construction company";"Flooring contractor";"Handyman/Handywoman/Handyperson";"Home goods store";"Joiner";"89 Hursley Rd, Havant PO9 4RF, United Kingdom";"89 Hursley Rd";"Havant";"PO9 4RF";"GB";"http://www.facebook.com/pages/Jon-Turner-Home-Garden-Solutions/188957087817120";"+44 23 9247 5039";"+442392475039";"50.8681416";"-0.9905928";"V295+7Q Havant, United Kingdom";"Landscaper";;;;;;
"movingup@top-notchlofts.co.uk";"https://top-notchlofts.co.uk/";"Top-notch lofts - THE LOFT CONVERSION SPECIALISTS";"Construction company";"8 Woodington Cl, Havant PO9 5LB, United Kingdom";"8 Woodington Cl";"Havant";"PO9 5LB";"GB";"https://top-notchlofts.co.uk/";"+44 7743 908552";"+447743908552";"50.8714746";"-0.9723133";"V2CH+H3 Havant, United Kingdom";"Construction company";;;;;;;;;;;
"Info@delmar-tech.co.uk";"https://delmar-tech.co.uk/";"Delmar Technologies";"Solar energy system service";"Electrical installation service";"Electrician";"Solar energy company";"Solar panel maintenance service";"Rose Cottage, 9 Augustine Rd, Drayton, Portsmouth PO6 1HY, United Kingdom";"Drayton";"Rose Cottage, 9 Augustine Rd";"Portsmouth";"PO6 1HY";"GB";"https://delmar-tech.co.uk/";"+44 7704 892150";"+447704892150";"50.8488784";"-1.0470859";"RXX3+H5 Portsmouth, United Kingdom";"Solar energy system service";;;;;;
"royaledrives@gmail.com";"https://royaledrivesltd.com/";"Royale Drives Ltd";"Paving contractor";"Asphalt contractor";"Construction company";"Landscape designer";"29 Central Rd, Drayton, Portsmouth PO6 1QG, United Kingdom";"Drayton";"29 Central Rd";"Portsmouth";"PO6 1QG";"GB";"https://royaledrivesltd.com/";"+44 7510 864793";"+447510864793";"50.8438673";"-1.0449013";"RXV4+G2 Portsmouth, United Kingdom";"Paving contractor";;;;;;;
"info@leavespropertyservices.co.uk";"http://www.leavesbuilders.com/";"Leaves Building and Maintenance Contractors Limited";"General contractor";"Construction company";"Unit 5, Oyster Estate, Jackson Cl, Farlington, Portsmouth PO6 1QN, United Kingdom";"Farlington";"Unit 5, Oyster Estate, Jackson Cl";"Portsmouth";"PO6 1QN";"GB";"http://www.leavesbuilders.com/";"+44 23 9238 5070";"+442392385070";"50.8403963";"-1.0424448";"RXR5+52 Portsmouth, United Kingdom";"General contractor";;;;;;;;;
