title,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,address,neighborhood,street,city,postalCode,state,countryCode,website,emails,phone,phoneUnformatted,location/lat,location/lng,plusCode,categoryName
Tidal Plumbing and Heating Ltd,Plumber,Bathroom remodeler,Gas engineer,Heating contractor,,,,,,,"11 Effingham Gardens, Sholing, Southampton SO19 8GF, United Kingdom",Sholing,11 Effingham Gardens,Southampton,SO19 8GF,,GB,http://www.tidalplumbingandheating.co.uk/,info@tidalplumbingandheating.co.uk,+44 7377 794212,+447377794212,50.9041638,-1.345858,"WM33+MM Southampton, United Kingdom",Plumber
South Plumbing Services,Plumber,Gas engineer,,,,,,,,,"12 Langbar Cl, Southampton SO19 7JH, United Kingdom",,12 Langbar Cl,Southampton,SO19 7JH,,GB,https://www.southplumbing.co.uk/,info@southplumbing.co.uk,+44 7737 424073,+447737424073,50.9111684,-1.3697327,"WJ6J+F4 Southampton, United Kingdom",Plumber
Brennan & Son,Plumber,Gas engineer,Heating contractor,,,,,,,,"35 Chafen Rd, Southampton SO18 1BD, United Kingdom",,35 Chafen Rd,Southampton,SO18 1BD,,GB,https://www.brennanheating.co.uk/,info@brennanheating.co.uk,+44 23 8022 5566,+442380225566,50.9190291,-1.3786152,"WJ9C+JH Southampton, United Kingdom",Plumber
Jetstream Draincleaning Limited,Drainage service,,,,,,,,,,"33A Portsmouth Rd, Woolston, Southampton SO19 9BA, United Kingdom",Woolston,33A Portsmouth Rd,Southampton,SO19 9BA,,GB,https://www.jetstreamdraincleaning.co.uk/,info@jetstreamdraincleaning.co.uk,+44 7789 475700,+447789475700,50.8981996,-1.3794696,"VJXC+76 Southampton, United Kingdom",Drainage service
Emergency Plumber Hampshire,Plumber,,,,,,,,,,"46 Coates Rd, Sholing, Southampton SO19 0HJ, United Kingdom",Sholing,46 Coates Rd,Southampton,SO19 0HJ,,GB,http://www.emergencyplumberhampshire.co.uk/,paul@emergencyplumberhampshire.co.uk,+44 7852 583351,+447852583351,50.901154,-1.3342977,"WM28+F7 Southampton, United Kingdom",Plumber
CH Electrical Contractors Ltd,Electrician,,,,,,,,,,"20 Quayside Rd, Southampton SO18 1EG, United Kingdom",,20 Quayside Rd,Southampton,SO18 1EG,,GB,https://chelectricalcontractor.com/,chris@chelectricalcontractor.com,+44 7399 806174,+447399806174,50.9160911,-1.3812019,"WJ89+CG Southampton, United Kingdom",Electrician
Parker's Electrical,Electrician,,,,,,,,,,"25 Taunton Dr, Southampton SO18 5BX, United Kingdom",,25 Taunton Dr,Southampton,SO18 5BX,,GB,http://parkerselectrical.co.uk/,contact@parkerselectrical.co.uk,+44 7497 378070,+447497378070,50.9177356,-1.3483705,"WM92+3M Southampton, United Kingdom",Electrician
HG Electrical,Electrician,,,,,,,,,,"Unit 1, H G Electrical LTD, Muira Industrial Estate, William St, Northam, Southampton SO14 5QH, United Kingdom",Northam,"Unit 1, H G Electrical LTD, Muira Industrial Estate, William St",Southampton,SO14 5QH,,GB,http://www.hgehome.co.uk/,info@hgehome.co.uk,+44 23 8201 1863,+442382011863,50.9099304,-1.3841576,"WJ58+X8 Southampton, United Kingdom",Electrician
AV Electrical & Property Solutions Limited,Electrician,Advertising agency,Automation company,Internet service provider,,,,,,,"37A Victoria Rd, Woolston, Southampton SO19 9DY, United Kingdom",Woolston,37A Victoria Rd,Southampton,SO19 9DY,,GB,http://www.electricalpropertysolutions.co.uk/,info@aveps.co.uk,+44 23 8020 0563,+442380200563,50.8968559,-1.3798122,"VJWC+P3 Southampton, United Kingdom",Electrician
J Thorn Electrical,Electrician,,,,,,,,,,"Oakbank Rd, Woolston, Southampton SO19 9DT, United Kingdom",Woolston,Oakbank Rd,Southampton,SO19 9DT,,GB,https://www.jthornelectrical.co.uk/,info@jthornelectrical.com,+44 23 8044 0488,+442380440488,50.8983706,-1.3793079,"VJXC+87 Southampton, United Kingdom",Electrician
ABM Electrical Solutions,Electrician,,,,,,,,,,"Centenary Quay, Unit 1 Azera, Capstan Rd, Southampton SO19 9UR, United Kingdom",Woolston,"Centenary Quay, Unit 1 Azera, Capstan Rd",Southampton,SO19 9UR,,GB,https://www.abmelectricalsolutions.co.uk/,info@abmelectricalsolutions.co.uk,+44 23 8254 4189,+442382544189,50.8950344,-1.3829518,"VJW8+2R Southampton, United Kingdom",Electrician
Primal Building Services Ltd,Solar energy company,Electrician,Solar panel maintenance service,,,,,,,,"International Way, Weston, Southampton SO19 9NY, United Kingdom",Weston,International Way,Southampton,SO19 9NY,,GB,https://primalbuildingservices.co.uk/,info@primalbuildingservices.com,+44 800 048 7934,+448000487934,50.8861547,-1.3681752,"VJPJ+FP Southampton, United Kingdom",Solar energy company
Neil's Electrical Services,Electrician,,,,,,,,,,"Suite 74, 151 High St, Southampton SO14 2BT, United Kingdom",,"Suite 74, 151 High St",Southampton,SO14 2BT,,GB,http://www.nes247.co.uk/,neil@neilselectricalservices.co.uk,+44 23 8032 8104,+442380328104,50.900678,-1.40423,"WH2W+78 Southampton, United Kingdom",Electrician
Jenkins Electrical Maintenance Services - Electrician in Southampton,Electrician,Electrical installation service,,,,,,,,,"21 Mount Pleasant Rd, Southampton SO14 0EF, United Kingdom",,21 Mount Pleasant Rd,Southampton,SO14 0EF,,GB,http://electricianinsouthampton.co.uk/,info@jenkinsems.co.uk,+44 23 8218 2809,+442382182809,50.9148351,-1.3946263,"WJ74+W4 Southampton, United Kingdom",Electrician
George Henry builders,Bricklayer,General contractor,,,,,,,,,"8 Cedar Ave, Shirley, Southampton SO15 5GW, United Kingdom",Shirley,8 Cedar Ave,Southampton,SO15 5GW,,GB,https://georgehenrybuilders.co.uk/,info@georgehenrybuilders.co.uk,+44 7909 333814,+447909333814,50.9217508,-1.4237895,"WHCG+PF Southampton, United Kingdom",Bricklayer
SHS Hants - Southampton Handyman Services Hampshire,Handyman/Handywoman/Handyperson,Bathroom remodeler,Building restoration service,Kitchen remodeler,Plumber,,,,,,"57, 77 Andersons Rd, Southampton SO14 5FF, United Kingdom",,"57, 77 Andersons Rd",Southampton,SO14 5FF,,GB,http://www.shshants.co.uk/,info@shshants.co.uk,+44 23 8030 8900,+442380308900,50.8995156,-1.3914945,"VJX5+RC Southampton, United Kingdom",Handyman/Handywoman/Handyperson
Scotts Garden Services,Gardener,,,,,,,,,,"144 Adelaide Rd, Southampton SO17 2HX, United Kingdom",,144 Adelaide Rd,Southampton,SO17 2HX,,GB,https://www.facebook.com/scottsgardenservice?ref=stream,scottsgardenserviceshampshire@gmail.com,+44 7766 220883,+447766220883,50.9247416,-1.3857058,"WJF7+VP Southampton, United Kingdom",Gardener
Debbie Carroll Garden Designs,Landscape designer,Garden,,,,,,,,,"104 Newtown Rd, Sholing, Southampton SO19 9HQ, United Kingdom",Sholing,104 Newtown Rd,Southampton,SO19 9HQ,,GB,http://www.dcgardendesigns.co.uk/, debbie@dcgardendesigns.co.uk,+44 7821 546950,+447821546950,50.8919192,-1.3545737,"VJRW+Q5 Southampton, United Kingdom",Landscape designer
Gutter and Garden Guys,Gutter cleaning service,Garden,Gardener,Gutter service,Landscaper,Pressure washing service,,,,,"15 Rockstone Pl, Southampton SO15 2EP, United Kingdom",,15 Rockstone Pl,Southampton,SO15 2EP,,GB,https://ggguys.co.uk/,book@ggguys.co.uk,+44 7872 306570,+447872306570,50.9145564,-1.4029538,"WH7W+RR Southampton, United Kingdom",Gutter cleaning service
Acre Landscapes,Landscaper,Gardener,,,,,,,,,"53 Chapel Cres, Sholing, Southampton SO19 8JU, United Kingdom",Sholing,53 Chapel Cres,Southampton,SO19 8JU,,GB,http://www.acrelandscapes.net/,dan@acrelandscapes.net,+44 7795 822244,+447795822244,50.901785,-1.3536751,"WJ2W+PG Southampton, United Kingdom",Landscaper
Mark Arnold Gardening Services,Gardener,,,,,,,,,,"10 Freemantle Cl, Southampton SO19 7BB, United Kingdom",,10 Freemantle Cl,Southampton,SO19 7BB,,GB,http://www.markarnoldgardening.co.uk/, enquiries@markarnoldgardening.co.uk,+44 7962 164650,+447962164650,50.9096482,-1.3658608,"WJ5M+VM Southampton, United Kingdom",Gardener
Flash Home Painting & Handyman Services,Handyman/Handywoman/Handyperson,Painter,Property maintenance,,,,,,,,"Anson Dr, Sholing, Southampton SO19 8RW, United Kingdom",Sholing,Anson Dr,Southampton,SO19 8RW,,GB,http://www.flashhomeservices.co.uk/,handyflashhomeservices@gmail.com,+44 7553 029015,+447553029015,50.9062225,-1.3432938,"WM44+FM Southampton, United Kingdom",Handyman/Handywoman/Handyperson
Timbafix,Carpenter,Deck builder,Door supplier,Fence contractor,Flooring contractor,Handyman/Handywoman/Handyperson,Painter,Property maintenance,,,"29 Henry Rd, Shirley, Southampton SO15 3HB, United Kingdom",Shirley,29 Henry Rd,Southampton,SO15 3HB,,GB,https://timbafix.com/,sales@timbafix.com,+44 7379 631889,+447379631889,50.9184641,-1.4319182,"WH99+96 Southampton, United Kingdom",Carpenter
Hampshire Premium Handyman,Handyman/Handywoman/Handyperson,,,,,,,,,,"73 Portswood Rd, Southampton SO17 2FU, United Kingdom",,73 Portswood Rd,Southampton,SO17 2FU,,GB,https://www.facebook.com/share/1RzNu6SiKL/?mibextid=wwXIfr,shad.tofiq@gmail.com,+44 7876 498012,+447876498012,50.9224129,-1.3957284,"WJC3+XP Southampton, United Kingdom",Handyman/Handywoman/Handyperson
Oddjob Handyman Services,Handyman/Handywoman/Handyperson,,,,,,,,,,"Centenary Quay, Woolston, Southampton SO19 9UD, United Kingdom",Woolston,Centenary Quay,Southampton,SO19 9UD,,GB,https://oddjobhandymanservices.co.uk/,jimbo385@gmail.com,+44 23 8000 0234,+442380000234,50.8942279,-1.382813,"VJV8+MV Southampton, United Kingdom",Handyman/Handywoman/Handyperson
TW Builders,Building firm,,,,,,,,,,"81 Millais Rd, Southampton SO19 2FX, United Kingdom",,81 Millais Rd,Southampton,SO19 2FX,,GB,https://www.twbuilders.co.uk/,info@twbuilders.co.uk,+44 7770 395026,+447770395026,50.9017324,-1.3682475,"WJ2J+MP Southampton, United Kingdom",Building firm
BMS House Conversions LTD,Home builder,,,,,,,,,,"141 Victoria Rd, Woolston, Southampton SO19 9EG, United Kingdom",Woolston,141 Victoria Rd,Southampton,SO19 9EG,,GB,https://www.bmshouseconversionsltd.co.uk/,bms.houseconversions@gmail.com,+44 7703 599133,+447703599133,50.89296,-1.381207,"VJV9+5G Southampton, United Kingdom",Home builder
Supremacy Roof Care Ltd,Roofing contractor,Service establishment,,,,,,,,,,,,,,,,https://www.supremacyroofcare.co.uk/,info@supremacyroofcare.co.uk,+44 23 8184 9681,+442381849681,50.9138207,-1.4004929,,Roofing contractor
N Joslin Roofing,Roofing contractor,,,,,,,,,,"2 Mansbridge Rd, Southampton SO18 2LD, United Kingdom",,2 Mansbridge Rd,Southampton,SO18 2LD,,GB,https://www.njoslinroofing.com/,info@njoslinroofing.com,+44 7502 047790,+447502047790,50.9412496,-1.3728663,"WJRG+FV Southampton, United Kingdom",Roofing contractor
HIGHLIGHT ROOFING AND BUILDING LTD,Roofing contractor,,,,,,,,,,"45 Lodge Rd, so14 SO14 6RL, United Kingdom",,45 Lodge Rd,so14,SO14 6RL,,GB,https://www.highlightroofingbuilding.co.uk/,info@highlightroofingbuilding.co.uk,+44 7957 023517,+447957023517,50.9194665,-1.3976757,"WJ92+QW Southampton, United Kingdom",Roofing contractor
Protec Roofing (Southern) Ltd,Roofing contractor,,,,,,,,,,"Rear of Units, 3 & 4 Lower Vicarage Rd, Southampton SO19 7RJ, United Kingdom",,"Rear of Units, 3 & 4 Lower Vicarage Rd",Southampton,SO19 7RJ,,GB,http://www.protecroofingltd.co.uk/,info@protecroofingltd.co.uk,+44 1489 298003,+441489298003,50.9001502,-1.3812731,"WJ29+3F Southampton, United Kingdom",Roofing contractor
Hampshire Roofers Ltd,Roofing contractor,Roofing supply store,,,,,,,,,"15 Rockstone Pl, Southampton SO15 2EP, United Kingdom",,15 Rockstone Pl,Southampton,SO15 2EP,,GB,https://www.approvedroofers.co.uk/free-roofing-quote,info@approvedroofers.co.uk,+44 23 8181 0383,+442381810383,50.9145976,-1.4029097,"WH7W+RR Southampton, United Kingdom",Roofing contractor
M Russell Roofing & Building,Roofing contractor,,,,,,,,,,"77 Victoria Rd, Woolston, Southampton SO19 9DZ, United Kingdom",Woolston,77 Victoria Rd,Southampton,SO19 9DZ,,GB,http://mrussellroofing.co.uk/,marcandharvey@gmail.com,+44 7720 609455,+447720609455,50.8947084,-1.3800448,"VJV9+VX Southampton, United Kingdom",Roofing contractor
