Company name,Indusry,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,address,Town,street,city,postalCode,website,emails,phone,phoneUnformatted,location/lat,location/lng,plusCode,categoryName
kp builders Portsmouth,Construction company,Bathroom remodeler,Building consultant,Building restoration service,Carpenter,General contractor,Home builder,Kitchen remodeler,Property maintenance,Real estate developer,,"63 Ferry Rd, Southsea, Portsmouth, Southsea PO4 9UA, United Kingdom","Southsea, Portsmouth",63 Ferry Rd,Southsea,PO4 9UA,https://kpbuildersportsmouth.com/,kpbuilders@mail.com,+44 7512 261966,+447512261966,50.790311,-1.0386305,,Construction company
D M Habens The Builder Ltd,Construction company,Carpenter,,,,,,,,,,"10 Rodney Rd, Southsea, Portsmouth, Southsea PO4 8SY, United Kingdom","Southsea, Portsmouth",10 Rodney Rd,Southsea,PO4 8SY,http://www.habens.co.uk/,enquiries@dmhabensltd.co.uk,+44 23 9285 1153,+442392851153,50.7976695,-1.0612644,,Construction company
H.Monfared (Builders) Ltd,Construction company,Building firm,,,,,,,,,,"Unit 1.3, Kirpal Rd, Portsmouth PO3 6FH, United Kingdom",,"Unit 1.3, Kirpal Rd",Portsmouth,PO3 6FH,http://www.hmonfared.com/,info@hmonfared.com,+44 23 9282 1323,+442392821323,50.8034372,-1.0528283,,Construction company
Solent Wooden Boats Ltd,Boat builders,,,,,,,,,,,"Fort Cumberland, Fort Cumberland Rd, Southsea, Portsmouth, Southsea PO4 9LD, United Kingdom","Southsea, Portsmouth","Fort Cumberland, Fort Cumberland Rd",Southsea,PO4 9LD,https://solentwoodenboats.co.uk/,solentwoodenboats@gmail.com,+44 7742 961444,+447742961444,50.7895075,-1.0331201,,Boat builders
M2 BUILDERS,Construction company,Bricklayer,Building firm,Fence contractor,General contractor,Home builder,Landscaper,Paving contractor,,,,"144 London Rd, Hilsea, Portsmouth PO2 9DQ, United Kingdom",Hilsea,144 London Rd,Portsmouth,PO2 9DQ,http://www.m2-builders.co.uk/,Build@m2-builders.co.uk,+44 7802 250348,+447802250348,50.8180899,-1.0786613,,Construction company
JBT Renovations,Home builder,,,,,,,,,,,"94 Napier Rd, Southsea, Portsmouth, Southsea PO5 2RB, United Kingdom","Southsea, Portsmouth",94 Napier Rd,Southsea,PO5 2RB,http://www.jbtrenovations.co.uk/,jbt.enquiries@gmail.com,+44 7702 479836,+447702479836,50.784878,-1.0803351,,Home builder
BJD FLAT PACK ASSEMBLY,Handyman/Handywoman/Handyperson,,,,,,,,,,,"Revenge Cl, Southsea, Portsmouth, Southsea PO4 8YE, United Kingdom","Southsea, Portsmouth",Revenge Cl,Southsea,PO4 8YE,http://www.bjdflatpackassembly.co.uk/,BJDFPA@GMAIL.COM,+44 7449 927018,+447449927018,50.800231,-1.0468311,,Handyman/Handywoman/Handyperson
THE PORTSMOUTH HANDYMAN LTD,Air conditioning service,,,,,,,,,,,"246 Copnor Rd, Portsmouth PO3 5DB, United Kingdom",,246 Copnor Rd,Portsmouth,PO3 5DB,https://smartairspecialists.com/,info@smartairspecialists.com,,,50.8179632,-1.0644348,,Handyman/Handywoman/Handyperson
Building Heroes Handyman Services Portsmouth,Handyman/Handywoman/Handyperson,Plumber,,,,,,,,,,"1A Wadham Rd, Portsmouth PO2 9ED, United Kingdom",,1A Wadham Rd,Portsmouth,PO2 9ED,https://propertyservices.buildingheroes.org.uk/,propertyservices@buildingheroes.org.uk,+44 330 390 0940,+443303900940,50.8211204,-1.07719,,Handyman/Handywoman/Handyperson
1st Class Waste ltd Rubbish Clearance Portsmouth - (Rubbish & Waste Service) Waste Clearances Portsmouth | Rubbish Clearances,Waste management service,Garbage collection service,,,,,,,,,,"3, 320 Tredegar Rd, northern parade, Portsmouth, Southsea PO4 9DN, United Kingdom","Southsea, Portsmouth","3, 320 Tredegar Rd, northern parade",Southsea,PO4 9DN,http://firstclasswasteltd.co.uk/,mike@firstclasswasteltd.co.uk,+44 7895 217761,+447895217761,50.7887263,-1.0632661,,Waste management service
Portsmouth Clearance,Waste management service,,,,,,,,,,,"35 Gritanwood Rd, Southsea, Portsmouth, Southsea PO4 9JR, United Kingdom","Southsea, Portsmouth",35 Gritanwood Rd,Southsea,PO4 9JR,https://portsmouthclearance.co.uk/,Portsmouthclearance@protonmail.com,+44 7478 710854,+447478710854,50.7891448,-1.0506592,,Waste management service
Evans Rubbish & Recycling Ltd,Waste management service,Garbage collection service,,,,,,,,,,"207 Copnor Rd, Portsmouth PO3 5BY, United Kingdom",,207 Copnor Rd,Portsmouth,PO3 5BY,http://www.evansrubbish.co.uk/,evansrubbishandrecycling@gmail.com,+44 23 9355 2770,+442393552770,50.8169036,-1.0647661,,Waste management service
Portsmouth Rubbish And Waste,Waste management service,General contractor,Junkyard,Landscaper,Mover,,,,,,,"169 Laburnum Grove, Portsmouth PO2 0HF, United Kingdom",,169 Laburnum Grove,Portsmouth,PO2 0HF,https://www.portsmouthrubbishandwaste.co.uk/,portsmouthrubbishandwaste@gmail.com,+44 7923 301593,+447923301593,50.8158485,-1.0709302,,Waste management service
Rubbish Clearance Portsmouth - (Rubbish & Waste Service) Waste Clearances Portsmouth | Rubbish Clearances Portsmouth,Waste management service,,,,,,,,,,,"Flat 6, IDS Worth House, Crasswell St, Landport St, Portsmouth PO1 1HR, United Kingdom",,"Flat 6, IDS Worth House, Crasswell St, Landport St",Portsmouth,PO1 1HR,https://rubbish-clearance-portsmouth.co.uk/,rubbishclearanceportsmouth657@hotmail.com,+44 7534 784654,+447534784654,50.8011301,-1.0846064,,Waste management service
J & J Removals,House clearance service,Junk removal service,Waste management service,,,,,,,,,"25 Waverley Rd, Southsea, Portsmouth, Southsea PO5 2PH, United Kingdom","Southsea, Portsmouth",25 Waverley Rd,Southsea,PO5 2PH,http://www.jjremovalsportsmouth.co.uk/,jowens22@hotmail.co.uk,+44 7788 155724,+447788155724,50.7821115,-1.0796665,,House clearance service
Campbells Clearance,Garbage collection service,Garbage dump,House clearance service,Waste management service,,,,,,,,"62 Brighstone Rd, Cosham, Portsmouth PO6 3HR, United Kingdom",Cosham,62 Brighstone Rd,Portsmouth,PO6 3HR,http://campbellsclearance.co.uk/,campbellsclearance@gmail.com,+44 7999 720457,+447999720457,50.8437767,-1.0750375,,Garbage collection service
Eco Upcycle Clearance,House clearance service,Garbage collection service,Moving and storage service,Mover,Scrap metal dealer,Waste management service,,,,,,"64 Northern Parade, Hilsea, Portsmouth PO2 9LN, United Kingdom",Hilsea,64 Northern Parade,Portsmouth,PO2 9LN,https://ecoupcycleclearance.co.uk/,kyle@ecoupcycleclearance.co.uk,+44 7470 230597,+447470230597,50.8236813,-1.0804365,,House clearance service
Southsea Textile Cleaners,Dry cleaner,Laundry,,,,,,,,,,"253 Albert Rd, Southsea, Portsmouth, Southsea PO4 0JR, United Kingdom","Southsea, Portsmouth",253 Albert Rd,Southsea,PO4 0JR,http://www.southseatextilecleaners.co.uk/,southseatextilecleaners@gmail.com,+44 23 9273 4442,+442392734442,50.7864842,-1.0708744,,Dry cleaner
BMS Pest Control,Pest control service,,,,,,,,,,,"28 Dunn Cl, Southsea, Portsmouth, Southsea PO4 9TX, United Kingdom","Southsea, Portsmouth",28 Dunn Cl,Southsea,PO4 9TX,https://www.bmspestcontrol.co.uk/,info@bmspest.co.uk,+44 7767 457703,+447767457703,50.7869614,-1.0511649,,Pest control service
Hopkins Contracting and Fencing Supplies,Fence contractor,Fence supply store,,,,,,,,,,"Yard 2, The, Skill Centre, Limberline Spur, Hilsea, Portsmouth PO3 5LF, United Kingdom",Hilsea,"Yard 2, The, Skill Centre, Limberline Spur",Portsmouth,PO3 5LF,http://www.hopkinscontracting.co.uk/,info@hopkinscontracting.co.uk,+44 23 9235 2039,+442392352039,50.8336245,-1.064352,,Fence contractor
Howard and sons landscape gardening,Landscaper,,,,,,,,,,,"office 26, 8-9 Rodney Rd, Portsmouth, Southsea PO4 8BF, United Kingdom",Portsmouth,"office 26, 8-9 Rodney Rd",Southsea,PO4 8BF,https://howardandsonslandscapers.co.uk/,jasonhoward2020@icloud.com,+44 7387 175161,+447387175161,50.798464,-1.0614925,,Landscaper
Wessex Garden Services,Fence contractor,,,,,,,,,,,"92 Bramshott Rd, Southsea, Portsmouth, Southsea PO4 8AW, United Kingdom","Southsea, Portsmouth",92 Bramshott Rd,Southsea,PO4 8AW,https://wessexgardenservices.co.uk/,aaron.wessex@gmail.com,+44 7557 674142,+447557674142,50.7929256,-1.063722,,Fence contractor
Portsmouth & Southsea Fencing Club,Sports club,,,,,,,,,,,"Mayfield Rd, Portsmouth PO2 0RH, United Kingdom",,Mayfield Rd,Portsmouth,PO2 0RH,https://psfencing.co.uk/,pandsfencing@gmail.com,,,50.8208878,-1.068573,,Sports club
